	goma			
t	x	vx	ax	
0,767	0,230		
0,800	0,231	2,990E-2	
0,833	0,232	5,822E-2	0,872
0,867	0,235	8,788E-2	0,929
0,900	0,238	0,120	1,028
0,933	0,243	0,156	0,911
0,967	0,249	0,183	0,532
1,000	0,255	0,191	-4,643E-2
1,033	0,261	0,181	-0,586
1,067	0,267	0,151	-1,029
1,100	0,272	0,111	-1,313
1,133	0,275	6,385E-2	-1,396
1,167	0,276	1,702E-2	-1,347
1,200	0,276	-2,518E-2	-1,220
1,233	0,274	-6,480E-2	-1,047
1,267	0,271	-9,546E-2	-0,806
1,300	0,268	-0,118	-0,533
1,333	0,264	-0,132	-0,139
1,367	0,259	-0,128	0,275
1,400	0,255	-0,112	0,494
1,433	0,252	-9,473E-2	0,579
1,467	0,249	-7,385E-2	0,707
1,500	0,247	-4,742E-2	0,776
1,533	0,246	-2,146E-2	0,762
1,567	0,245	2,877E-3	0,719
1,600	0,246	2,680E-2	0,678
1,633	0,247	4,807E-2	0,558
1,667	0,249	6,430E-2	0,383
1,700	0,251	7,354E-2	0,199
1,733	0,254	7,742E-2	0,151
1,767	0,256	8,281E-2	5,637E-2
1,800	0,259	8,295E-2	-0,233
1,833	0,262	6,706E-2	-0,630
1,867	0,264	4,044E-2	-0,855
1,900	0,265	9,671E-3	-0,904
1,933	0,264	-2,012E-2	-0,820
1,967	0,263	-4,523E-2	-0,604
2,000	0,261	-6,087E-2	-0,282
2,033	0,259	-6,398E-2	1,624E-2
2,067	0,257	-5,916E-2	0,205
2,100	0,255	-5,036E-2	0,285
2,133	0,254	-3,980E-2	0,381
2,167	0,253	-2,561E-2	0,444
2,200	0,252	-9,336E-3	0,432
2,233	0,252	3,173E-3	0,353
2,267	0,252	1,396E-2	0,268
2,300	0,253	2,153E-2	0,191
2,333	0,254	2,616E-2	0,168
2,367	0,255	3,254E-2	0,188
2,400	0,256	3,906E-2	0,169
2,433	0,257	4,370E-2	6,849E-2
2,467	0,259	4,408E-2	-0,165
2,500	0,260	3,324E-2	-0,428
2,533	0,261	1,452E-2	-0,573
2,567	0,261	-4,945E-3	-0,563
2,600	0,261	-2,329E-2	-0,391
2,633	0,260	-3,198E-2	-9,019E-2
2,667	0,259	-2,869E-2	0,161
2,700	0,258	-2,083E-2	0,248
2,733	0,257	-1,210E-2	0,276
2,767	0,257	-2,524E-3	0,258
2,800	0,257	5,522E-3	0,197
2,833	0,257	1,043E-2	0,108
2,867	0,258	1,280E-2	6,512E-2
2,900	0,258	1,442E-2	-4,017E-2
2,933	0,259	1,107E-2	-0,150
2,967	0,259	3,402E-3	-0,171
3,000	0,259	-4,426E-4	-6,575E-2
3,033	0,259	-8,126E-4	1,782E-2
3,067	0,259	7,914E-4	3,736E-2
3,100	0,259	1,974E-3	5,558E-2
3,133	0,259	4,017E-3	-1,367E-2
3,167	0,259	2,215E-3	-6,367E-2
3,200	0,259	-1,635E-3	-7,326E-2
3,233	0,259	-2,045E-3	-3,580E-2
3,267	0,259	-3,943E-3	-6,527E-3
3,300	0,259	-3,156E-3	1,604E-2
3,333	0,259	-1,884E-3	7,383E-2
3,367	0,259	6,635E-4	0,130
3,400	0,259	7,464E-3	6,975E-2
3,433	0,259	6,371E-3	-8,586E-2
3,467	0,259	2,697E-4	-0,138
3,500	0,259	-2,550E-3	-6,527E-2
3,533	0,259	-4,083E-3	-4,647E-2
3,567	0,259	-5,483E-3	-2,679E-2
3,600	0,259	-6,124E-3	5,374E-3
3,633	0,259	-5,011E-3	7,489E-2
3,667	0,258	-1,357E-3	
3,700	0,258		
