	PingPong			
t	x	vx	ax	
3,100	7,027E-30		
3,133	6,985E-30	-1,333E-30	
3,167	6,938E-30	-1,215E-30	9,442E-30
3,200	6,904E-30	-6,886E-31	2,432E-29
3,233	6,892E-30	3,730E-31	2,685E-29
3,267	6,929E-30	1,239E-30	1,690E-29
3,300	6,975E-30	1,431E-30	-1,200E-30
3,333	7,024E-30	1,193E-30	-1,460E-29
3,367	7,054E-30	4,365E-31	-2,905E-29
3,400	7,053E-30	-7,372E-31	-3,413E-29
3,433	7,005E-30	-1,906E-30	-2,162E-29
3,467	6,926E-30	-2,231E-30	6,852E-30
3,500	6,857E-30	-1,436E-30	3,559E-29
3,533	6,831E-30	1,726E-31	4,517E-29
3,567	6,868E-30	1,675E-30	3,116E-29
3,600	6,942E-30	2,265E-30	3,228E-30
3,633	7,019E-30	1,884E-30	-2,292E-29
3,667	7,068E-30	7,179E-31	-4,047E-29
3,700	7,067E-30	-8,492E-31	-3,921E-29
3,733	7,011E-30	-1,981E-30	-1,943E-29
3,767	6,935E-30	-2,137E-30	9,390E-30
3,800	6,869E-30	-1,357E-30	3,345E-29
3,833	6,844E-30	1,283E-31	4,244E-29
3,867	6,877E-30	1,548E-30	3,093E-29
3,900	6,948E-30	2,214E-30	8,099E-30
3,933	7,025E-30	2,072E-30	-2,014E-29
3,967	7,086E-30	9,161E-31	-4,415E-29
4,000	7,086E-30	-9,587E-31	-4,996E-29
4,033	7,022E-30	-2,480E-30	-2,704E-29
4,067	6,921E-30	-2,815E-30	1,352E-29
4,100	6,834E-30	-1,580E-30	4,850E-29
4,133	6,815E-30	5,201E-31	5,658E-29
4,167	6,869E-30	2,265E-30	3,334E-29
4,200	6,966E-30	2,793E-30	-3,456E-30
4,233	7,055E-30	1,999E-30	-3,226E-29
4,267	7,100E-30	5,779E-31	-4,642E-29
4,300	7,094E-30	-1,086E-30	-4,155E-29
4,333	7,027E-30	-2,301E-30	-2,374E-29
4,367	6,940E-30	-2,623E-30	6,766E-30
4,400	6,852E-30	-1,915E-30	3,834E-29
4,433	6,813E-30	-2,398E-32	5,439E-29
4,467	6,851E-30	1,841E-30	3,723E-29
4,500	6,935E-30	2,498E-30	1,834E-30
4,533	7,017E-30	1,926E-30	-2,630E-29
4,567	7,064E-30	6,995E-31	-4,200E-29
4,600	7,064E-30	-8,727E-31	-4,084E-29
4,633	7,006E-30	-2,120E-30	-2,067E-29
4,667	6,922E-30	-2,265E-30	1,227E-29
4,700	6,855E-30	-1,290E-30	3,741E-29
4,733	6,836E-30	2,904E-31	4,585E-29
4,767	6,874E-30	1,801E-30	3,093E-29
4,800	6,957E-30	2,433E-30	-1,171E-30
4,833	7,036E-30	1,711E-30	-3,295E-29
4,867	7,071E-30	1,724E-31	-4,655E-29
4,900	7,048E-30	-1,435E-30	-3,958E-29
4,933	6,975E-30	-2,510E-30	-1,149E-29
4,967	6,880E-30	-2,269E-30	2,770E-29
5,000	6,824E-30	-6,104E-31	5,519E-29
5,033	6,840E-30	1,495E-30	4,892E-29
5,067	6,923E-30	2,751E-30	1,770E-29
5,100	7,023E-30	2,648E-30	-2,046E-29
5,133	7,100E-30	1,385E-30	-4,632E-29
5,167	7,115E-30	-5,134E-31	-5,155E-29
5,200	7,066E-30	-2,111E-30	-3,526E-29
5,233	6,975E-30	-2,880E-30	-6,866E-30
5,267	6,874E-30	-2,587E-30	2,459E-29
5,300	6,802E-30	-1,224E-30	4,979E-29
5,333	6,792E-30	7,780E-31	5,371E-29
5,367	6,854E-30	2,450E-30	3,235E-29
5,400	6,955E-30	2,960E-30	-3,355E-30
5,433	7,051E-30	2,214E-30	-3,193E-29
5,467	7,103E-30	7,644E-31	-5,192E-29
5,500	7,102E-30	-1,207E-30	-5,154E-29
5,533	7,023E-30	-2,836E-30	-2,819E-29
5,567	6,913E-30	-3,072E-30	1,402E-29
5,600	6,818E-30	-1,915E-30	4,805E-29
5,633	6,786E-30	2,063E-31	6,099E-29
5,667	6,831E-30	2,227E-30	4,393E-29
5,700	6,934E-30	3,194E-30	8,138E-30
5,733	7,044E-30	2,760E-30	-3,040E-29
5,767	7,118E-30	1,146E-30	-5,452E-29
5,800	7,121E-30	-9,525E-31	-5,661E-29
5,833	7,055E-30	-2,674E-30	-3,286E-29
5,867	6,943E-30	-3,213E-30	6,724E-30
5,900	6,840E-30	-2,207E-30	4,427E-29
5,933	6,795E-30	-2,019E-31	6,054E-29
5,967	6,827E-30	1,898E-30	4,751E-29
6,000	6,922E-30	3,045E-30	1,277E-29
6,033	7,030E-30	2,741E-30	-2,660E-29
6,067	7,105E-30	1,243E-30	-5,170E-29
6,100	7,113E-30	-7,733E-31	-5,785E-29
6,133	7,053E-30	-2,641E-30	-3,507E-29
6,167	6,937E-30	-3,243E-30	6,622E-30
6,200	6,837E-30	-2,132E-30	4,673E-29
6,233	6,795E-30	-8,455E-32	6,363E-29
6,267	6,831E-30	2,171E-30	4,860E-29
6,300	6,939E-30	3,287E-30	8,820E-30
6,333	7,050E-30	2,707E-30	-3,072E-29
6,367	7,120E-30	1,184E-30	-5,404E-29
6,400	7,129E-30	-8,951E-31	-5,878E-29
6,433	7,060E-30	-2,835E-30	-3,628E-29
6,467	6,940E-30	-3,392E-30	7,889E-30
6,500	6,834E-30	-2,273E-30	4,712E-29
6,533	6,789E-30	-1,854E-31	6,289E-29
6,567	6,822E-30	1,982E-30	4,817E-29
6,600	6,921E-30	3,122E-30	1,053E-29
6,633	7,030E-30	2,669E-30	-2,731E-29
6,667	7,099E-30	1,230E-30	-4,891E-29
6,700	7,112E-30	-6,046E-31	-5,208E-29
6,733	7,059E-30	-2,305E-30	-3,388E-29
6,767	6,958E-30	-2,934E-30	1,990E-30
6,800	6,863E-30	-2,150E-30	4,053E-29
6,833	6,815E-30	-2,168E-31	6,017E-29
6,867	6,848E-30	1,974E-30	4,768E-29
6,900	6,946E-30	3,046E-30	6,608E-30
6,933	7,052E-30	2,414E-30	-3,122E-29
6,967	7,107E-30	8,544E-31	-5,513E-29
