	Plastic_grand			
t	x	vx	ax	
0,000	0,118		
0,033	0,118	2,679E-2	
0,067	0,120	4,911E-2	0,727
0,100	0,122	7,590E-2	1,517
0,133	0,125	0,144	0,756
0,167	0,131	0,148	5,838E-2
0,200	0,135	0,122	-0,292
0,233	0,139	0,144	3,729E-2
0,267	0,144	0,122	-0,261
0,300	0,148	0,120	-0,541
0,333	0,152	9,789E-2	-0,802
0,367	0,154	5,438E-2	-1,063
0,400	0,156	3,263E-2	-0,727
0,433	0,156	4,351E-3	-0,932
0,467	0,156	-2,828E-2	-0,727
0,500	0,154	-4,786E-2	-0,820
0,533	0,153	-7,614E-2	-0,727
0,567	0,149	-0,104	-0,448
0,600	0,146	-0,102	9,323E-2
0,633	0,143	-9,789E-2	-0,131
0,667	0,139	-0,109	0,149
0,700	0,135	-9,572E-2	0,559
0,733	0,133	-6,309E-2	0,867
0,767	0,131	-4,186E-2	0,608
0,800	0,130	-2,027E-2	0,618
0,833	0,130	-2,339E-3	0,570
0,867	0,130	1,849E-2	0,609
0,900	0,131	3,806E-2	0,382
0,933	0,133	4,567E-2	0,205
0,967	0,134	4,894E-2	0,214
1,000	0,136	6,090E-2	0,261
1,033	0,138	6,742E-2	0,168
1,067	0,140	7,069E-2	-0,177
1,100	0,143	5,872E-2	-0,317
1,133	0,144	4,459E-2	-0,419
1,167	0,146	3,480E-2	-0,354
1,200	0,147	1,849E-2	-0,475
1,233	0,147	4,350E-3	-0,559
1,267	0,147	-1,849E-2	-0,699
1,300	0,146	-4,350E-2	-0,466
1,333	0,144	-5,111E-2	-4,661E-2
1,367	0,142	-4,459E-2	-9,321E-3
1,400	0,141	-5,002E-2	3,729E-2
1,433	0,139	-4,676E-2	0,196
1,467	0,138	-3,262E-2	0,242
1,500	0,137	-3,154E-2	0,401
1,533	0,136	-9,787E-3	0,531
1,567	0,136	1,087E-2	0,429
1,600	0,136	1,414E-2	0,158
1,633	0,137	2,284E-2	0,289
1,667	0,138	3,262E-2	0,280
1,700	0,139	4,241E-2	6,525E-2
1,733	0,141	3,806E-2	-0,345
1,767	0,142	1,849E-2	-0,438
1,800	0,142	6,525E-3	-0,224
1,833	0,142	5,437E-3	-6,525E-2
1,867	0,142	2,175E-3	-0,130
1,900	0,142	-3,262E-3	-0,233
1,933	0,142	-1,305E-2	-0,168
1,967	0,142	-1,631E-2	-0,177
2,000	0,141	-2,175E-2	-5,593E-2
2,033	0,140	-2,392E-2	-9,321E-2
2,067	0,140	-2,392E-2	0,130
2,100	0,138	-1,957E-2	0,280
2,133	0,138	-2,175E-3	0,410
2,167	0,138	7,612E-3	0,289
2,200	0,139	1,631E-2	0,121
2,233	0,139	1,740E-2	3,729E-2
2,267	0,140	1,631E-2	-9,321E-3
2,300	0,141	1,849E-2	2,796E-2
2,333	0,141	1,740E-2	-1,864E-2
2,367	0,142	1,740E-2	-7,457E-2
2,400	0,142	1,305E-2	-0,130
2,433	0,143	7,612E-3	-0,158
2,467	0,143	3,262E-3	-0,233
2,500	0,143	-7,612E-3	-0,252
2,533	0,142	-1,522E-2	-0,112
2,567	0,142	-1,414E-2	-9,321E-3
2,600	0,141	-1,522E-2	0,000
2,633	0,141	-1,522E-2	5,593E-2
2,667	0,140	-1,087E-2	0,242
2,700	0,140	0,000	0,280
2,733	0,140	9,787E-3	8,389E-2
2,767	0,141	5,437E-3	-0,121
2,800	0,141	0,000	-9,321E-2
2,833	0,141	0,000	
2,867	0,141		
